Date,HomeTeam,AwayTeam,FTHG,FTAG
2025-08-15,Lille,Lyon,2,2
2025-08-15,Rennes,Nice,3,0
2025-08-15,Monaco,Lens,1,0
2025-08-15,Paris SG,Marseille,1,1
2025-08-22,Monaco,Lens,2,2
2025-08-22,Nice,Lille,0,2
2025-08-22,Rennes,Marseille,2,1
2025-08-22,Lyon,Paris SG,1,3
2025-08-29,Lyon,Monaco,2,2
2025-08-29,Marseille,Nice,2,1
2025-08-29,Lille,Rennes,4,1
2025-08-29,Paris SG,Lens,2,2
2025-09-05,Nice,Lille,2,3
2025-09-05,Monaco,Rennes,3,2
2025-09-05,Paris SG,Marseille,1,1
2025-09-05,Lyon,Lens,3,0
2025-09-12,Rennes,Lille,2,0
2025-09-12,Lyon,Paris SG,1,1
2025-09-12,Monaco,Nice,3,2
2025-09-12,Marseille,Lens,1,1
2025-09-19,Lyon,Lens,1,3
2025-09-19,Rennes,Lille,3,1
2025-09-19,Monaco,Nice,2,1
2025-09-19,Marseille,Paris SG,3,1
